Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.hi,bbmsy,bbmsy.low,bbmsy.hi,f.end,f.end.low,f.end.hi,ffmsy,ffmsy.low,ffmsy.hi,Converge,Prior.Warn,Fit.Warn
Had_7_bk,SPICT,1,Y,N,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,1.120593704,0.250185094,1.991002314,65.21131099,11.9543792,118.4682428,15.52739312,10.87543704,22.16921822,0.53461887,0.23913998,1.19518842,29.20709456,12.44741742,68.53263967,23.30137039,7.9599431,68.21077178,0.7977983,0.41808239,1.52238445,0.74889496,0.24253971,2.31237873,1.40080158,0.57887222,3.38977239,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,1,Y,Y,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.75213565,0.230734591,1.273536709,95.39505869,15.44899217,175.3411252,15.11737994,9.53637837,23.96456676,0.35335217,0.17040667,0.73270464,43.07963409,19.11768415,97.07529736,33.7010396,9.67516886,117.3891729,0.78229633,0.35828012,1.70812589,0.51547097,0.14116599,1.8822545,1.45880234,0.49382241,4.30945262,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,1,Y,Y,Y,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.610022509,0.195839379,1.024205639,251.0335303,-37.34518106,539.4122416,29.61981994,8.00277636,109.6286706,0.2767082,0.13446607,0.5694182,108.7577311,35.15797103,336.4313621,127.883418,27.78700386,588.5545877,1.17585588,0.61795364,2.23744463,0.13254141,0.02816888,0.6236395,0.47899342,0.08247059,2.78201833,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,1,Y,Y,N,Y,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.815833967,0.362603632,1.269064303,84.30509388,41.13801016,127.4721776,14.66573348,10.31069499,20.86025613,0.38560595,0.21737985,0.68401901,38.25828641,22.76429644,64.29790102,27.59339634,15.54079667,48.99333912,0.72123973,0.3808689,1.36578953,0.63303072,0.33905821,1.18188523,1.64165184,0.76437774,3.52577089,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.563824023,0.159737691,0.967910355,144.7506749,-51.92441845,341.4257683,16.76504228,7.95741117,35.32136729,0.26090129,0.12185587,0.55860652,64.86316477,17.29320155,243.2880997,29.13626546,16.42662006,51.67964939,0.44919587,0.09948751,2.02816333,0.60203706,0.32176992,1.1264217,2.30752809,0.85202544,6.24944473,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,2,N,N,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.413011502,-0.516142018,1.342165021,83.23919168,-23.2413739,189.7197573,15.24560776,11.24963686,20.66098302,0.67369786,0.21836266,2.0785092,22.61943276,7.84214672,65.24217878,19.58951242,7.66504478,50.06480823,0.86604791,0.27186139,2.7589022,0.88335827,0.3274554,2.38298661,1.31120837,0.3310845,5.19283567,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,2,Y,N,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,1.088161257,0.254648774,1.921673741,65.91742781,14.67914441,117.1557112,15.58698361,11.09914114,21.88944667,0.52179886,0.23796124,1.14419495,29.99806124,13.31005656,67.60930535,23.40153086,8.39436783,65.23798545,0.78010144,0.41184797,1.47762841,0.73709535,0.25050025,2.16889824,1.41260437,0.58793808,3.39398176,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,2,Y,Y,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.748610992,0.241591051,1.255630933,92.63982275,22.79974248,162.479903,15.08389801,10.09624348,22.53550833,0.3555784,0.17640788,0.71672533,42.61582749,20.34903772,89.24789359,31.96509684,10.38897084,98.35116794,0.7500757,0.35209532,1.59790128,0.5386826,0.16629126,1.74500421,1.51494748,0.54864526,4.18315077,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,2,Y,Y,Y,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.608351528,0.192940793,1.023762262,245.0466831,-43.00428754,533.0976537,29.65059392,7.82467535,112.3570858,0.27866414,0.13591216,0.57135212,107.7546975,34.01517049,341.3498937,124.9736619,26.50163661,589.3377981,1.15979781,0.62043059,2.16806033,0.13407453,0.027675,0.64953845,0.48113306,0.08009113,2.89032043,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,SPICT,2,Y,Y,N,Y,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.752722118,0.312715438,1.192728798,96.84317508,47.38490141,146.3014487,15.17027327,9.8886178,23.2729382,0.35213855,0.19186306,0.64630242,43.42417809,26.06040823,72.35724114,34.95799305,18.78113602,65.06854945,0.80503523,0.42505759,1.52469154,0.49635575,0.25541138,0.96459695,1.40954677,0.60820373,3.26670484,Convergence: 0  MSG: relative convergence (4),,
